subject,conditions,late_pro_prob,inhib_fail_prob,late_pro_rt,anti_rt,inhib_fail_rt,predicted_pro_rt,predicted_pro_prob,predicted_anti_rt,predicted_anti_prob,age,test_retest
32,1,0.00986001769031445,0.0585161541096083,2.73401467951318,3.12680743100104,1.34056999436002,1.49983705164569,0.0695977935762739,3.12636905908881,0.930402206423726,0,1
32,2,0.989646887854697,0.0765672546293446,3.08180389691822,2.91628900074743,1.80868458407653,2.96944396379439,0.990331978817991,2.88252760777484,0.00966802118200927,0,1
33,1,0.153493598349178,0.0763641850773538,2.70389576309611,3.2184350348018,1.56228053091205,2.43642553395022,0.224148114326175,3.18818185663307,0.775851885673825,0,1
33,2,0.962028534657462,0.126976270687898,2.86379037952619,2.23186371463386,1.67667370506149,2.68325713128626,0.96575603211358,2.18156252899835,0.0342439678864202,0,1
34,1,0.0551332385287449,0.0462197258103321,3.46675672479839,4.25370290787512,1.35976958413318,2.43500632133089,0.100784549635386,4.25273952881849,0.899215450364614,1,1
34,2,0.989348709174859,0.0572606398406225,3.19817957491449,2.83869987119705,1.80358290736115,3.11798235884395,0.989768276939099,2.81087640975494,0.010231723060901,1,1
35,1,0.054069012925127,0.0566084127187857,2.41303193547865,2.70026886798062,1.06305268891652,1.70530263536853,0.109448482568586,2.69405214549074,0.890551517431414,1,1
35,2,0.933742789791229,0.14268838649346,2.91736418657565,2.19635460042652,1.45408686942503,2.68142696918306,0.940941688546152,2.15611891897082,0.0590583114538484,1,1
36,1,0.0269770141786892,0.0446250464593534,3.12525012924496,3.75106241215534,1.24425653082896,1.8806286372266,0.0721989223250211,3.75021989135018,0.927801077674979,0,1
36,2,0.989742878541668,0.397252951265774,2.94847044510025,2.47337896900361,1.87917627734674,2.49388415023327,0.992686781148775,2.3366041758987,0.00731321885122494,0,1
37,1,0.0824504612657491,0.079036889638362,2.92658028263006,3.73091429520081,1.49157921440852,2.25469843432436,0.157320590536874,3.72210749909227,0.842679409463126,0,1
37,2,0.892200227886025,0.527491616301195,4.0751879253323,4.17119286086564,2.97757717138005,2.83868946431791,0.951328395971964,2.68551434082335,0.0486716040280357,0,1
38,1,0.0347843999007922,0.0843374623648939,3.09777410139245,3.71674855722532,1.41481664276561,1.86317458528822,0.117913326982959,3.71394414253813,0.882086673017042,0,1
