"id","test_nr","blok","typ","error","correct","age","rt","gain","peak_velocity"
"C7",2,2,"a",1,39,0,293.35,0.767125,266
"C7",2,3,"a",1,38,0,298.230769230769,0.768564102564103,235.512820512821
"C7",2,4,"a",2,38,0,311.35,0.711675,248.975
"C7",2,5,"p",1,58,0,268.745762711864,0.794440677966102,251.135593220339
"D1",2,1,"p",0,59,0,272.779661016949,0.790949152542373,266.203389830508
"D1",2,2,"a",1,39,0,279.575,0.851775,282.575
"D1",2,3,"a",0,40,0,267.525,0.760125,270.175
"D1",2,4,"a",1,39,0,289.65,0.7542,257.875
"D1",2,5,"p",1,59,0,268.183333333333,0.835966666666667,286.283333333333
"D3",2,1,"p",1,58,0,314.35593220339,0.805881355932203,573.406779661017
"D3",2,2,"a",2,37,0,349.820512820513,0.827846153846154,492.230769230769
"D3",2,3,"a",1,39,0,351.55,0.856625,447.025
"D3",2,4,"a",0,39,0,391.205128205128,0.766410256410256,361.589743589744
"D3",2,5,"p",1,59,0,339.883333333333,0.832316666666667,398
"D5",2,1,"p",2,56,0,239.724137931034,0.736362068965517,291.741379310345
"D5",2,2,"a",0,39,0,291.615384615385,0.733666666666667,288.538461538462
"D5",2,3,"a",7,31,0,272.736842105263,0.676421052631579,282.157894736842
"D5",2,4,"a",0,37,0,293.135135135135,0.74327027027027,290.324324324324
"D5",2,5,"p",3,55,0,222.448275862069,0.767327586206897,394.293103448276
"D6",2,1,"p",0,60,0,275.15,0.853266666666667,319.483333333333
"D6",2,2,"a",1,39,0,311.85,0.97585,357.7
"D6",2,3,"a",1,37,0,294.473684210526,0.960789473684211,340.236842105263
"D6",2,4,"a",0,40,0,300.575,0.899725,308.675
"D6",2,5,"p",1,57,0,261.758620689655,0.867448275862069,342.724137931034
"D8",2,1,"p",0,59,0,244.508474576271,0.823101694915254,380.016949152542
"D8",2,2,"a",1,39,0,267.6,0.852575,362.65
"D8",2,3,"a",5,34,0,272.461538461538,0.893564102564103,374.358974358974
"D8",2,4,"a",6,34,0,250.125,0.888975,417.425
"D8",2,5,"p",1,56,0,221.701754385965,0.841578947368421,318.421052631579
"E1",2,1,"p",2,58,0,298.933333333333,0.715866666666667,522.266666666667
"E1",2,2,"a",7,33,0,293.875,0.58455,206.05
"E1",2,3,"a",5,35,0,303.675,0.54465,202.2
"E1",2,4,"a",8,32,0,288.95,0.590525,209.075
"E1",2,5,"p",0,58,0,265.689655172414,0.694896551724138,282.51724137931
"E6",2,1,"p",1,59,0,237.55,0.881183333333333,306.666666666667
"E6",2,2,"a",2,38,0,273.475,0.9221,365.25
"E6",2,3,"a",2,38,0,289,0.805225,297.725
"E6",2,4,"a",6,33,0,268.871794871795,0.76574358974359,371.461538461538
"E6",2,5,"p",0,56,0,258,0.791410714285714,322.714285714286
"F3",2,1,"p",0,60,1,342.283333333333,0.823016666666667,319.566666666667
"F3",2,2,"a",0,39,1,407.615384615385,0.765153846153846,310
"F3",2,3,"a",2,37,1,367.51282051282,0.736230769230769,289.897435897436
"F3",2,4,"a",3,37,1,418.35,0.77255,281.325
"F3",2,5,"p",1,58,1,343.745762711864,0.822796610169492,307.322033898305
"F4",2,1,"p",2,57,1,344.067796610169,0.909338983050847,238.745762711864
"F4",2,2,"a",5,33,1,370.763157894737,0.622842105263158,209.552631578947
"F4",2,3,"a",1,38,1,380.615384615385,0.656025641025641,203.538461538462
"F4",2,4,"a",2,37,1,375.717948717949,0.531358974358974,171.025641025641
"F4",2,5,"p",1,53,1,341.037037037037,0.891314814814815,241.611111111111
"F5",2,1,"p",7,38,1,303.511111111111,0.674088888888889,281.622222222222
"F5",2,2,"a",10,26,1,351.305555555556,0.615055555555556,215.25
"F5",2,3,"a",13,18,1,341,0.619677419354839,238.322580645161
"F5",2,4,"a",12,22,1,316.941176470588,0.674588235294118,566.647058823529
"F5",2,5,"p",7,41,1,260.8125,0.636291666666667,336.333333333333
"F6",2,1,"p",7,50,1,244.368421052632,0.876157894736842,291.736842105263
